Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Currency,ExchangeTimezone
2022-06-09,194.27999877929688,199.4499969482422,183.67999267578125,184.0,182.8726348876953,23501600,META,USD,EDT
2022-06-10,183.0399932861328,183.10000610351562,175.02000427246094,175.57000732421875,174.4943084716797,27450800,META,USD,EDT
2022-06-13,170.58999633789062,172.5800018310547,164.02999877929688,164.25999450683594,163.2535858154297,31749300,META,USD,EDT
2022-06-14,166.02999877929688,166.75,161.36000061035156,163.72999572753906,162.72683715820312,27244300,META,USD,EDT
2022-06-15,167.1999969482422,172.16000366210938,163.97999572753906,169.35000610351562,168.31240844726562,30008300,META,USD,EDT
2022-06-16,163.72000122070312,165.0800018310547,159.61000061035156,160.8699951171875,159.88436889648438,26944100,META,USD,EDT
2022-06-17,161.67999267578125,165.89999389648438,159.89999389648438,163.74000549316406,162.73678588867188,31374200,META,USD,EDT
2022-06-21,165.92999267578125,167.75999450683594,155.97000122070312,157.0500030517578,156.0877685546875,50724900,META,USD,EDT
2022-06-22,158.3800048828125,160.7899932861328,155.44000244140625,155.85000610351562,154.89512634277344,47267800,META,USD,EDT
2022-06-23,156.27000427246094,159.75,154.25,158.75,157.77735900878906,40499200,META,USD,EDT
2022-06-24,161.72999572753906,170.25,161.3000030517578,170.16000366210938,169.11744689941406,68736000,META,USD,EDT
2022-06-27,171.32000732421875,171.75,168.00999450683594,169.49000549316406,168.45155334472656,29174600,META,USD,EDT
2022-06-28,169.89999389648438,171.3000030517578,160.61000061035156,160.67999267578125,159.69552612304688,27744500,META,USD,EDT
2022-06-29,163.57000732421875,166.3300018310547,160.32000732421875,163.94000244140625,162.935546875,28595200,META,USD,EDT
2022-06-30,162.14999389648438,165.22999572753906,158.49000549316406,161.25,160.2620391845703,35250600,META,USD,EDT
2022-07-01,160.30999755859375,160.6199951171875,155.0,160.02999877929688,159.04949951171875,31423900,META,USD,EDT
2022-07-05,158.13999938964844,168.25,157.02000427246094,168.19000244140625,167.1595001220703,28618600,META,USD,EDT
2022-07-06,168.1999969482422,171.58999633789062,165.4600067138672,169.77000427246094,168.72984313964844,23085900,META,USD,EDT
2022-07-07,169.4499969482422,172.72000122070312,167.77999877929688,172.19000244140625,171.135009765625,24083400,META,USD,EDT
2022-07-08,169.97999572753906,172.39999389648438,168.14999389648438,170.8800048828125,169.83303833007812,19249200,META,USD,EDT
2022-07-11,167.07000732421875,167.49000549316406,161.91000366210938,162.8800048828125,161.88206481933594,21885600,META,USD,EDT
2022-07-12,164.8000030517578,165.91000366210938,162.10000610351562,163.27000427246094,162.26963806152344,16639700,META,USD,EDT
2022-07-13,160.16000366210938,164.97999572753906,159.61000061035156,163.49000549316406,162.48831176757812,16555100,META,USD,EDT
2022-07-14,161.22000122070312,162.58999633789062,157.27999877929688,158.0500030517578,157.08164978027344,23765200,META,USD,EDT
2022-07-15,160.5399932861328,164.97999572753906,159.82000732421875,164.6999969482422,163.6908721923828,23342800,META,USD,EDT
2022-07-18,166.75,171.69000244140625,165.63999938964844,167.22999572753906,166.20538330078125,23574300,META,USD,EDT
2022-07-19,170.3699951171875,176.49000549316406,169.50999450683594,175.77999877929688,174.70298767089844,25933700,META,USD,EDT
2022-07-20,177.49000549316406,183.60000610351562,176.6999969482422,183.08999633789062,181.96823120117188,24784300,META,USD,EDT
2022-07-21,180.6300048828125,183.85000610351562,178.8699951171875,183.1699981689453,182.04771423339844,27195800,META,USD,EDT
2022-07-22,173.07000732421875,175.60000610351562,168.41000366210938,169.27000427246094,168.23289489746094,42583900,META,USD,EDT
2022-07-25,169.0,170.57000732421875,164.80999755859375,166.64999389648438,165.62892150878906,26166300,META,USD,EDT
2022-07-26,165.94000244140625,166.0,157.9499969482422,159.14999389648438,158.17489624023438,28468400,META,USD,EDT
2022-07-27,162.58999633789062,170.8699951171875,162.02000427246094,169.5800018310547,168.54098510742188,43846600,META,USD,EDT
2022-07-28,161.05999755859375,161.50999450683594,154.85000610351562,160.72000122070312,159.7352752685547,73214300,META,USD,EDT
2022-07-29,157.69000244140625,160.13999938964844,155.1699981689453,159.10000610351562,158.1251983642578,42065400,META,USD,EDT
2022-08-01,157.25,165.19000244140625,155.22999572753906,159.92999267578125,158.95010375976562,40596700,META,USD,EDT
2022-08-02,158.30999755859375,162.24000549316406,158.00999450683594,160.19000244140625,159.2085418701172,27374500,META,USD,EDT
2022-08-03,162.69000244140625,169.5399932861328,161.57000732421875,168.8000030517578,167.76576232910156,31721900,META,USD,EDT
2022-08-04,168.3000030517578,172.14999389648438,166.8000030517578,170.57000732421875,169.52493286132812,23938200,META,USD,EDT
2022-08-05,166.99000549316406,171.61000061035156,165.8000030517578,167.11000061035156,166.0861358642578,25832700,META,USD,EDT
2022-08-08,168.0,177.50999450683594,167.1300048828125,170.25,169.20687866210938,27299100,META,USD,EDT
2022-08-09,168.9499969482422,169.52999877929688,166.60000610351562,168.52999877929688,167.49740600585938,18655100,META,USD,EDT
2022-08-10,175.99000549316406,180.47999572753906,173.9499969482422,178.33999633789062,177.247314453125,30262100,META,USD,EDT
2022-08-11,179.7100067138672,183.10000610351562,176.3699951171875,177.49000549316406,176.4025421142578,24079100,META,USD,EDT
2022-08-12,180.80999755859375,181.4600067138672,178.91000366210938,180.5,179.39407348632812,21274000,META,USD,EDT
2022-08-15,178.9600067138672,181.44000244140625,178.1999969482422,180.88999938964844,179.78167724609375,15878700,META,USD,EDT
2022-08-16,179.44000244140625,180.99000549316406,177.0399932861328,179.47000122070312,178.37042236328125,21156700,META,USD,EDT
2022-08-17,176.75999450683594,178.13999938964844,174.1699981689453,174.85000610351562,173.77870178222656,20118100,META,USD,EDT
2022-08-18,174.33999633789062,175.75999450683594,171.86000061035156,174.66000366210938,173.58987426757812,18844500,META,USD,EDT
2022-08-19,170.1999969482422,172.32000732421875,167.0500030517578,167.9600067138672,166.93092346191406,26240800,META,USD,EDT
2022-08-22,165.49000549316406,165.49000549316406,162.25999450683594,163.0500030517578,162.051025390625,19499700,META,USD,EDT
2022-08-23,162.47999572753906,165.0500030517578,160.6999969482422,161.11000061035156,160.12289428710938,18111800,META,USD,EDT
