
date,portfolio_id,ticker,quantity,market_value
2002-08-27,202,AMZN,72,1045.44
2017-04-19,203,AMZN,465,418128.01
2004-11-02,201,AMZN,425,15402.0
2004-03-18,202,AMZN,349,15010.49
2000-01-12,203,AMZN,54,3432.38
2007-03-26,203,AMZN,286,11156.86
2002-07-08,203,AMZN,221,3301.74
2013-03-11,201,AMZN,393,106597.32
2013-03-01,202,AMZN,84,22322.16
1999-10-27,203,AMZN,148,11238.75
2004-10-14,202,AMZN,14,547.4
2016-10-06,203,AMZN,41,34508.06
2009-10-23,203,AMZN,424,50239.76
1998-01-26,203,AMZN,188,904.75
2003-07-08,202,AMZN,212,8588.12
2002-05-01,202,AMZN,235,3875.15
2000-07-18,202,AMZN,257,10729.75
2002-10-31,202,AMZN,338,6543.68
2004-12-10,201,AMZN,194,7575.7
2014-09-17,202,AMZN,278,90072.0
2014-06-06,202,AMZN,458,150988.87
2012-02-13,203,AMZN,390,74720.1
1999-07-14,203,AMZN,68,4590.0
1998-02-19,202,AMZN,424,2217.17
2017-04-26,203,AMZN,18,16367.22
1999-01-15,202,AMZN,69,4842.94
2008-06-17,202,AMZN,303,25139.91
2018-10-23,201,AMZN,173,305985.09
2015-07-31,202,AMZN,474,254135.11
2005-09-01,202,AMZN,63,2635.92
1998-08-27,202,AMZN,486,9639.0
2006-10-23,201,AMZN,166,5458.08
2017-11-14,202,AMZN,431,489978.03
2014-12-22,201,AMZN,74,22683.96
2012-03-19,202,AMZN,65,12058.8
1999-02-24,202,AMZN,464,25737.5
2019-10-25,201,AMZN,388,683396.02
2003-09-02,202,AMZN,63,2981.79
2008-04-10,202,AMZN,490,36666.7
2006-06-27,203,AMZN,63,2298.24
2004-06-15,202,AMZN,466,23351.26
2011-10-13,201,AMZN,389,91862.35
2004-07-09,203,AMZN,319,15414.08
2008-08-28,201,AMZN,63,5255.46
2012-02-17,203,AMZN,103,18797.5
1997-08-28,201,AMZN,459,1090.12
2019-05-15,201,AMZN,399,746588.86
2007-05-15,203,AMZN,269,16296.02
2010-10-25,202,AMZN,421,71149.0
2003-10-03,201,AMZN,234,12376.26
2002-01-15,203,AMZN,99,1018.71
2003-05-21,203,AMZN,306,9715.5
2016-03-21,203,AMZN,248,137387.04
2017-03-15,203,AMZN,188,160358.35
2008-07-14,201,AMZN,422,27970.16
2018-04-03,203,AMZN,212,295114.61
1999-10-04,201,AMZN,389,29977.31
2017-08-22,202,AMZN,356,344216.41
2006-05-26,202,AMZN,394,14211.58
2015-11-17,201,AMZN,202,129946.6
