
date,portfolio_id,ticker,quantity,market_value
2012-03-19,201,TSLA,259,9059.82
2012-11-28,202,TSLA,224,7443.52
2014-03-13,201,TSLA,327,77757.33
2012-12-07,202,TSLA,338,11549.46
2020-01-22,201,TSLA,484,275667.04
2018-05-24,201,TSLA,359,99748.15
2012-07-20,201,TSLA,150,4768.5
2020-02-18,201,TSLA,129,110733.6
2016-04-18,203,TSLA,32,8124.16
2014-01-31,201,TSLA,322,58414.02
2017-08-14,201,TSLA,84,30559.2
2016-10-04,202,TSLA,447,94500.27
2019-05-09,202,TSLA,111,26859.78
2014-12-22,202,TSLA,102,22705.2
2011-12-12,202,TSLA,365,11099.65
2019-07-10,202,TSLA,476,113725.92
2013-06-06,203,TSLA,20,1947.0
2011-06-09,201,TSLA,251,6932.62
2011-12-30,201,TSLA,433,12366.48
2019-02-11,201,TSLA,216,67573.44
2012-04-23,201,TSLA,299,9550.06
2011-07-29,203,TSLA,197,5549.49
2014-03-10,202,TSLA,42,10031.28
2014-06-03,202,TSLA,199,40783.06
2020-03-20,203,TSLA,149,63701.97
2013-01-17,203,TSLA,275,9454.5
2015-08-14,201,TSLA,461,112092.15
2012-05-08,202,TSLA,445,13434.55
2015-12-07,202,TSLA,469,108399.97
2016-09-19,203,TSLA,480,99043.2
2011-11-07,201,TSLA,279,8724.33
2013-03-01,202,TSLA,59,2044.35
2012-10-16,201,TSLA,230,6453.8
2017-10-02,202,TSLA,338,115437.14
2013-03-07,201,TSLA,187,7149.01
2010-12-02,201,TSLA,212,6858.2
2011-03-16,203,TSLA,20,456.4
2013-05-09,203,TSLA,161,11173.4
2016-11-29,203,TSLA,278,52700.46
2019-11-12,201,TSLA,391,136822.63
2010-08-17,201,TSLA,481,9211.15
2018-06-19,202,TSLA,287,101181.85
2015-08-13,202,TSLA,449,108886.99
2015-05-27,201,TSLA,55,13608.65
2019-03-26,201,TSLA,90,24099.3
2010-08-05,201,TSLA,249,5092.05
2010-08-26,202,TSLA,371,7327.25
2011-10-24,203,TSLA,361,10306.55
2019-10-25,202,TSLA,55,18047.15
2010-11-22,203,TSLA,356,11890.4
2015-03-23,201,TSLA,451,90033.13
2011-07-20,202,TSLA,452,12967.88
2019-03-04,202,TSLA,331,94454.16
2018-02-12,202,TSLA,376,118714.48
2018-04-13,202,TSLA,328,98511.52
2019-08-06,203,TSLA,62,14306.5
2017-11-28,203,TSLA,60,19053.0
2012-11-15,203,TSLA,480,14793.6
2018-10-18,201,TSLA,342,90257.22
2015-06-08,202,TSLA,252,64585.08
