
trade_id,timestamp,ticker,quantity,price,trader_id
501,2016-04-18 15:43:08,FB,32,110.3,103
502,2014-07-30 14:40:09,FB,35,73.34,103
503,2019-11-27 11:32:40,FB,1,193.72,105
504,2014-12-23 14:56:23,FB,2,79.4,101
505,2013-03-06 12:57:56,FB,30,26.7,104
506,2016-03-31 14:03:41,FB,4,119.34,101
507,2017-10-17 11:18:36,FB,7,176.72,104
508,2012-08-17 11:02:02,FB,71,18.11,102
509,2018-02-16 11:24:01,FB,59,176.57,103
510,2014-08-15 15:46:17,FB,40,75.84,101
511,2015-01-28 12:25:01,FB,29,74.3,102
512,2016-07-28 10:16:40,FB,56,119.52,104
513,2013-11-19 14:30:39,FB,55,48.0,104
514,2012-09-13 15:51:42,FB,91,21.52,104
515,2012-09-20 15:38:59,FB,49,22.62,103
516,2014-08-14 14:06:03,FB,54,75.53,101
517,2017-03-23 10:41:35,FB,13,137.01,105
518,2014-10-08 15:39:15,FB,47,78.32,104
519,2016-06-07 13:04:07,FB,86,112.52,105
520,2019-04-22 14:26:08,FB,43,176.52,105
521,2014-11-03 12:38:07,FB,89,72.58,102
522,2016-12-14 10:50:23,FB,72,120.77,105
523,2015-07-29 13:18:58,FB,30,100.08,104
524,2020-01-13 10:32:26,FB,17,218.39,105
525,2016-03-11 14:17:51,FB,26,111.44,101
526,2020-02-07 11:12:27,FB,45,216.3,103
527,2018-05-31 14:21:11,FB,14,182.72,104
528,2012-09-24 12:04:37,FB,74,21.56,105
529,2013-03-27 10:19:07,FB,64,24.85,102
530,2018-11-05 11:29:56,FB,87,153.19,102
531,2017-07-03 14:45:51,FB,84,142.93,104
532,2014-03-31 12:39:22,FB,100,61.5,104
533,2013-04-18 15:19:37,FB,82,24.81,104
534,2016-03-16 15:01:04,FB,97,116.04,105
535,2013-09-20 11:15:07,FB,78,49.35,101
536,2016-04-28 09:47:42,FB,9,112.74,105
537,2012-12-06 11:53:18,FB,62,27.18,105
538,2014-05-20 13:40:33,FB,83,60.94,103
539,2016-12-19 11:11:43,FB,17,121.09,104
540,2015-03-24 14:25:38,FB,8,83.88,102
541,2018-12-26 13:39:24,FB,17,129.94,104
542,2014-05-05 09:43:00,FB,72,59.55,102
543,2016-12-22 14:23:06,FB,61,117.2,104
544,2016-12-06 12:24:45,FB,68,120.66,103
545,2018-12-28 11:02:44,FB,96,139.83,104
546,2018-05-21 12:03:02,FB,31,189.73,103
547,2012-07-17 11:12:47,FB,54,28.12,104
548,2014-06-27 11:55:00,FB,94,64.75,102
549,2014-04-04 12:02:57,FB,65,57.88,104
550,2014-06-17 11:39:29,FB,70,62.04,104
551,2016-08-25 11:41:08,FB,46,119.92,102
552,2018-12-04 12:46:45,FB,59,142.86,104
553,2012-07-16 14:07:37,FB,8,28.04,103
554,2015-04-01 09:48:48,FB,19,79.12,103
555,2012-06-28 14:54:34,FB,48,30.38,102
556,2018-02-26 12:24:57,FB,82,190.52,104
557,2015-07-10 09:38:31,FB,84,91.53,103
558,2018-07-16 13:35:57,FB,52,203.69,104
559,2012-10-12 12:38:40,FB,52,19.92,103
560,2018-12-13 13:30:58,FB,87,140.81,104
561,2014-09-09 11:10:29,FB,78,78.5,105
562,2017-04-04 10:26:47,FB,55,140.17,102
563,2018-04-27 13:05:12,FB,58,178.5,101
564,2017-05-16 11:06:38,FB,29,151.25,102
565,2018-10-11 12:51:44,FB,42,160.87,101
566,2016-03-23 10:19:06,FB,45,116.47,102
567,2019-03-12 14:20:15,FB,94,164.26,103
568,2012-08-03 11:14:39,FB,88,21.02,105
569,2017-09-01 14:20:49,FB,93,164.15,101
570,2013-04-11 14:32:57,FB,3,29.13,102
571,2019-03-27 15:45:42,FB,77,158.04,104
572,2016-03-04 11:50:19,FB,43,109.51,103
573,2016-03-30 11:03:37,FB,36,114.12,104
574,2013-02-01 15:43:28,FB,90,29.88,105
575,2013-01-24 11:55:05,FB,79,32.36,103
576,2014-08-21 10:33:51,FB,88,77.53,103
577,2020-01-13 11:57:06,FB,91,210.84,105
578,2020-03-06 15:12:53,FB,16,175.42,105
579,2013-08-30 14:46:50,FB,73,39.62,105
580,2017-03-01 13:13:56,FB,95,141.22,104
581,2017-03-28 13:03:27,FB,82,135.43,101
582,2014-03-17 12:31:04,FB,73,69.24,102
583,2014-02-25 15:47:46,FB,78,68.91,102
584,2017-07-31 13:07:51,FB,77,175.95,103
585,2016-04-11 14:42:52,FB,5,112.54,102
586,2018-08-27 14:31:45,FB,18,171.71,105
587,2012-09-17 10:48:13,FB,56,20.72,105
588,2016-12-05 15:51:31,FB,73,117.34,102
589,2015-01-16 09:40:11,FB,63,76.69,105
590,2014-11-20 13:09:17,FB,61,70.64,101
591,2015-10-06 13:52:17,FB,13,95.08,105
592,2016-02-01 13:39:08,FB,10,115.61,104
593,2017-07-17 14:51:07,FB,41,151.91,105
594,2020-03-20 10:20:28,FB,67,155.72,105
595,2017-09-13 14:37:55,FB,58,167.13,103
596,2013-08-29 12:24:52,FB,54,39.98,102
597,2018-10-23 11:18:18,FB,88,147.55,101
598,2014-05-13 10:38:55,FB,16,60.75,104
599,2017-05-24 12:26:50,FB,83,145.42,102
600,2017-04-28 14:11:32,FB,54,151.22,101
